[FIXES]
;
; Sections:
; O = Nil Fix
; Airway/TERPS
; ABQ Diagram
CFBVS N031.44.20.280 W106.17.27.900
CFBWY N032.07.27.560 W111.25.26.410
CFBXP N031.49.43.390 W106.17.17.570
CFCBR N031.42.33.790 W106.22.21.280
CFCBS N031.45.41.680 W106.24.44.640
CFCBT N031.45.44.790 W106.24.26.010
CFCBV N031.49.00.580 W106.28.00.240
CFCGG N035.22.45.540 W106.17.33.820
CFDQJ N033.35.52.690 W111.59.20.850
CFDWX N034.58.58.110 W106.28.22.790
CFDWZ N034.58.58.430 W106.28.32.110
CFDXB N035.02.10.240 W106.33.23.600
CFDXC N035.02.18.280 W106.33.04.800
CFDXD N035.02.38.460 W106.33.00.880
CFDXF N035.02.20.000 W106.43.09.980
CFDXG N035.05.18.570 W106.36.16.870
CFDXH N035.05.09.590 W106.37.22.500
CFDXJ N035.01.08.170 W106.32.14.680
CFDXM N035.00.52.920 W106.35.19.900
CFFCH N031.49.07.780 W106.24.43.690
CFFCX N031.48.35.460 W106.29.13.700
CFFDN N035.40.23.080 W106.02.43.770
CFFDT N031.48.21.770 W106.29.14.820
CFFFD N031.49.51.230 W106.25.02.870
CFFJT N031.46.34.190 W106.25.18.240
CFFPM N031.46.15.930 W106.24.50.020
CFGFF N025.54.57.910 W097.32.09.230
CFGKY N031.55.32.170 W110.37.27.200
CFHBX N029.48.03.310 W104.35.44.570
CFHMN N033.05.54.220 W106.08.54.940
CFJWE N035.48.27.850 W102.33.00.490
CFPQK N034.57.48.240 W106.28.56.800
CFPQL N035.04.06.670 W106.32.15.080
CFPQM N035.04.08.000 W106.32.33.290
CFPQN N035.03.52.620 W106.33.09.690
CFPQV N034.57.48.280 W106.28.45.120
CFPTJ N034.56.48.720 W106.38.27.320
CFPTK N035.00.46.120 W106.43.18.180
CFPTL N034.59.48.370 W106.40.40.860
CFPTM N035.07.27.190 W106.40.37.000
CFRFS N033.16.18.500 W111.31.58.940
CFSMG N031.19.59.640 W110.51.21.910
CFVJT N035.08.45.460 W111.39.49.880
CFVLF N035.15.55.880 W106.38.52.720
CFWHS N031.19.59.000 W110.52.47.630
CFXGH N031.56.23.300 W110.35.04.910
CGNEY N034.45.49.840 W114.22.38.510
CHACO N036.26.58.130 W108.16.59.600
CHAMA N036.53.14.440 W106.35.36.820
CHAPN N034.10.27.100 W109.16.30.040
CHAVO N033.20.51.400 W112.05.34.460
CHEAR N034.22.11.510 W110.28.16.410
CHEKR N033.50.24.000 W110.50.22.450
CHEZZ N033.26.00.000 W111.53.18.000
CHIIL N031.48.12.780 W106.25.09.500
CHILY N034.42.48.610 W112.45.42.270
CHISO N033.01.31.580 W106.04.04.470
CHIST N034.15.59.680 W103.28.10.040
CHNGA N035.00.22.900 W106.30.40.770
CHOPR N033.31.24.460 W111.10.49.850
CHUCO N031.42.20.620 W106.11.04.740
CHYTA N031.35.15.850 W110.13.38.400
CIANE N034.53.22.710 W106.30.58.500
CIBBI N033.01.06.110 W110.04.16.490
CIBDI N035.29.34.650 W108.51.56.930
CIBVU N035.29.22.860 W106.11.53.190
CIDMA N033.03.13.970 W105.51.39.030
CIFZE N032.29.49.390 W102.44.40.990
