*SRR_ATS_Approaches             O              O              O              O
                          N033.33.05.625 W105.10.56.564 N033.33.04.230 W105.10.55.437 RVM
                          N033.33.04.230 W105.10.55.437 N033.33.02.581 W105.10.55.033 RVM
                          N033.33.06.111 W105.10.56.716 N033.33.00.839 W105.10.55.496 RVM
                          N033.33.06.762 W105.10.58.296 N033.32.59.514 W105.10.56.668 RVM
                          N033.33.07.086 W105.10.59.480 N033.32.58.848 W105.10.57.845 RVM
                          N033.33.07.078 W105.11.01.056 N033.32.58.511 W105.10.59.418 RVM
                          N033.33.06.740 W105.11.02.629 N033.32.58.503 W105.11.00.994 RVM
                          N033.33.05.745 W105.11.03.804 N033.32.58.826 W105.11.02.178 RVM
                          N033.33.04.420 W105.11.04.976 N033.32.59.478 W105.11.03.759 RVM
                          N033.47.32.759 W105.11.25.377 N033.47.31.105 W105.11.25.758 RVM
                          N033.47.31.105 W105.11.25.758 N033.47.29.700 W105.11.26.868 RVM
                          N033.47.29.700 W105.11.26.868 N033.47.28.756 W105.11.28.538 RVM
                          N033.47.28.756 W105.11.28.538 N033.47.28.417 W105.11.30.513 RVM
                          N033.47.28.417 W105.11.30.513 N033.47.28.735 W105.11.32.494 RVM
                          N033.47.28.735 W105.11.32.494 N033.47.29.662 W105.11.34.177 RVM
                          N033.47.29.662 W105.11.34.177 N033.47.31.057 W105.11.35.308 RVM
                          N033.47.31.057 W105.11.35.308 N033.47.32.706 W105.11.35.714 RVM
                          N033.47.32.706 W105.11.35.714 N033.47.34.359 W105.11.35.332 RVM
                          N033.47.34.359 W105.11.35.332 N033.47.35.765 W105.11.34.222 RVM
                          N033.47.35.765 W105.11.34.222 N033.47.36.709 W105.11.32.552 RVM
                          N033.47.36.709 W105.11.32.552 N033.47.37.048 W105.11.30.577 RVM
                          N033.47.37.048 W105.11.30.577 N033.47.36.729 W105.11.28.596 RVM
                          N033.47.36.729 W105.11.28.596 N033.47.35.803 W105.11.26.913 RVM
                          N033.47.35.803 W105.11.26.913 N033.47.34.408 W105.11.25.782 RVM
                          N033.47.34.408 W105.11.25.782 N033.47.32.759 W105.11.25.377 RVM
                          N033.47.36.068 W105.11.27.112 N033.47.30.797 W105.11.25.889 RVM
                          N033.47.36.720 W105.11.28.697 N033.47.29.472 W105.11.27.064 RVM
                          N033.47.37.041 W105.11.30.280 N033.47.28.806 W105.11.28.244 RVM
                          N033.47.37.035 W105.11.31.465 N033.47.28.468 W105.11.29.822 RVM
                          N033.47.36.699 W105.11.32.648 N033.47.28.460 W105.11.31.402 RVM
                          N033.47.35.702 W105.11.34.220 N033.47.28.784 W105.11.32.589 RVM
                          N033.47.34.376 W105.11.35.396 N033.47.29.435 W105.11.34.174 RVM
                          N033.58.02.715 W104.11.55.028 N033.58.01.065 W104.11.55.429 RVM
                          N033.58.01.065 W104.11.55.429 N033.57.59.668 W104.11.56.557 RVM
                          N033.57.59.668 W104.11.56.557 N033.57.58.738 W104.11.58.241 RVM
                          N033.57.58.738 W104.11.58.241 N033.57.58.415 W104.12.00.224 RVM
                          N033.57.58.415 W104.12.00.224 N033.57.58.749 W104.12.02.205 RVM
                          N033.57.58.749 W104.12.02.205 N033.57.59.689 W104.12.03.881 RVM
                          N033.57.59.689 W104.12.03.881 N033.58.01.092 W104.12.04.998 RVM
                          N033.58.01.092 W104.12.04.998 N033.58.02.744 W104.12.05.386 RVM
                          N033.58.02.744 W104.12.05.386 N033.58.04.394 W104.12.04.985 RVM
                          N033.58.04.394 W104.12.04.985 N033.58.05.791 W104.12.03.857 RVM
                          N033.58.05.791 W104.12.03.857 N033.58.06.722 W104.12.02.173 RVM
                          N033.58.06.722 W104.12.02.173 N033.58.07.045 W104.12.00.190 RVM
                          N033.58.07.045 W104.12.00.190 N033.58.06.711 W104.11.58.209 RVM
                          N033.58.06.711 W104.11.58.209 N033.58.05.771 W104.11.56.533 RVM
                          N033.58.05.771 W104.11.56.533 N033.58.04.368 W104.11.55.416 RVM
                          N033.58.04.368 W104.11.55.416 N033.58.02.715 W104.11.55.028 RVM
                          N033.58.06.166 W104.11.56.624 N033.58.00.886 W104.11.55.458 RVM
                          N033.58.06.830 W104.11.58.205 N033.57.59.570 W104.11.56.651 RVM
                          N033.58.07.165 W104.11.59.787 N033.57.58.914 W104.11.57.841 RVM
                          N033.58.07.168 W104.12.00.974 N033.57.58.589 W104.11.59.425 RVM
                          N033.58.06.841 W104.12.02.163 N033.57.58.593 W104.12.01.009 RVM
                          N033.58.05.856 W104.12.03.750 N033.57.58.926 W104.12.02.195 RVM
                          N033.58.04.541 W104.12.04.943 N033.57.59.590 W104.12.03.775 RVM
                          N033.33.57.370 W104.31.07.430 N033.34.47.511 W104.31.29.479 RVM
                          N033.34.47.511 W104.31.29.479 N033.34.06.288 W104.32.08.893 RVM
                          N032.46.50.326 W104.12.06.630 N032.47.40.528 W104.12.28.303 RVM
                          N032.47.40.528 W104.12.28.303 N032.46.59.400 W104.13.07.514 RVM
                          N033.02.31.339 W103.48.57.972 N033.03.21.607 W103.49.19.489 RVM
                          N033.03.21.607 W103.49.19.489 N033.02.40.603 W103.49.58.997 RVM
                          N033.21.43.109 W103.45.51.821 N033.22.33.384 W103.46.13.387 RVM
                          N033.22.33.384 W103.46.13.387 N033.21.52.398 W103.46.53.063 RVM
                          N033.20.59.507 W104.37.49.395 N033.21.49.631 W104.38.11.454 RVM
                          N033.21.49.631 W104.38.11.454 N033.21.08.370 W104.38.50.718 RVM
                          N033.27.33.284 W105.32.20.007 N033.27.25.795 W105.32.20.965 RVM
                          N033.27.25.795 W105.32.20.965 N033.27.18.694 W105.32.23.958 RVM
                          N033.27.18.694 W105.32.23.958 N033.27.12.363 W105.32.28.824 RVM
                          N033.27.12.363 W105.32.28.824 N033.27.07.143 W105.32.35.300 RVM
                          N033.27.07.143 W105.32.35.300 N033.27.03.315 W105.32.43.038 RVM
                          N033.27.03.315 W105.32.43.038 N033.27.01.087 W105.32.51.620 RVM
                          N033.27.01.087 W105.32.51.620 N033.27.00.577 W105.33.00.584 RVM
                          N033.27.00.577 W105.33.00.584 N033.27.01.814 W105.33.09.446 RVM
                          N033.27.01.814 W105.33.09.446 N033.27.04.730 W105.33.17.729 RVM
                          N033.27.04.730 W105.33.17.729 N033.27.09.169 W105.33.24.987 RVM
                          N033.27.09.169 W105.33.24.987 N033.27.14.892 W105.33.30.829 RVM
                          N033.27.14.892 W105.33.30.829 N033.27.21.589 W105.33.34.938 RVM
                          N033.27.21.589 W105.33.34.938 N033.27.28.900 W105.33.37.095 RVM
                          N033.27.28.900 W105.33.37.095 N033.27.36.431 W105.33.37.182 RVM
                          N033.27.36.431 W105.33.37.182 N033.27.43.776 W105.33.35.194 RVM
                          N033.27.43.776 W105.33.35.194 N033.27.50.539 W105.33.31.239 RVM
                          N033.27.50.539 W105.33.31.239 N033.27.56.354 W105.33.25.530 RVM
                          N033.27.56.354 W105.33.25.530 N033.28.00.910 W105.33.18.374 RVM
                          N033.28.00.910 W105.33.18.374 N033.28.03.959 W105.33.10.157 RVM
                          N033.28.03.959 W105.33.10.157 N033.28.05.338 W105.33.01.323 RVM
                          N033.28.05.338 W105.33.01.323 N033.28.04.972 W105.32.52.347 RVM
                          N033.28.04.972 W105.32.52.347 N033.28.02.880 W105.32.43.715 RVM
                          N033.28.02.880 W105.32.43.715 N033.27.59.177 W105.32.35.890 RVM
                          N033.27.59.177 W105.32.35.890 N033.27.54.061 W105.32.29.296 RVM
                          N033.27.54.061 W105.32.29.296 N033.27.47.808 W105.32.24.287 RVM
                          N033.27.47.808 W105.32.24.287 N033.27.40.756 W105.32.21.134 RVM
                          N033.27.40.756 W105.32.21.134 N033.27.33.284 W105.32.20.007 RVM
                          N032.58.06.610 W104.12.28.510 N032.58.06.610 W104.12.28.510 RVM
                          N033.05.06.890 W104.37.18.530 N033.05.06.890 W104.37.18.530 RVM
                          N033.04.15.710 W104.19.44.360 N033.04.15.710 W104.19.44.360 RVM
                          N032.58.58.250 W104.44.34.980 N032.58.58.250 W104.44.34.980 RVM
